  Frame         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      235        0.205        3.310            0      231.448        0.000      111.296
      236        0.168        3.376            0      233.034        2.021      115.054
      237        0.250        3.311            0      230.004        0.085      114.539
      238        0.247        3.319            0      231.092        0.427      114.699
      239        0.130        3.398            0      232.564        0.343      114.644
      240        0.603        3.543            0      234.138        0.000      114.756
      241        0.178        3.421            0      235.038        0.222      116.029
      242        0.520        3.511            0      233.178        0.493      113.523
      243        0.249        3.291            0      230.887        0.169      114.650
      244        0.382        3.425            0      233.409        0.166      118.050
      245        0.324        3.292            0      231.557        0.047      115.102
      246        0.120        3.370            0      231.504        0.000      111.463
      247        0.154        3.362            0      231.556        0.192      117.229
      248        0.158        3.365            0      231.997        0.000      116.153
      249        0.329        3.410            0      233.633        1.940      110.505
      250        0.193        3.364            0      231.906        0.000      109.244
      251        0.502        3.502            0      234.876        0.000      116.382
      252        0.535        3.510            0      235.359        0.304      114.712
      253        0.548        3.555            0      236.509        3.521      113.423
      254        0.220        3.329            0      232.914        0.760      116.651
      255        0.529        3.502            0      235.075        0.000      111.338
      256        0.229        3.380            0      231.800        0.083      117.036
      257        0.420        3.415            0      233.273        0.341      112.848
      258        0.170        3.349            0      231.874        1.039      113.428
      259        0.470        3.489            0      234.438        0.295      115.873
      260        0.400        3.441            0      233.179        0.030      113.181
      261        0.308        3.398            0      231.998        0.866      112.484
      262        0.116        3.412            0      233.176        2.110      112.580
      263        0.180        3.359            0      230.569        1.962      119.452
      264        0.137        3.346            0      231.230        0.143      113.437
      265        0.165        3.390            0      233.266        0.329      114.220
      266        0.117        3.402            0      232.366        2.999      114.286
      267        0.101        3.373            0      232.345        0.606      111.413
      268        0.206        3.362            0      232.073        0.812      117.143
      269        0.267        3.297            0      229.858        0.061      112.988
      270        0.228        3.346            0      231.907        3.735      116.974
      271        0.180        3.332            0      229.759        0.935      115.530
      272        0.119        3.422            0      233.990        0.351      112.428
      273        0.131        3.380            0      233.127        0.148      111.984
      274        0.124        3.410            0      233.937        0.976      113.564
      275        0.184        3.346            0      230.665        0.000      116.312
      276        0.197        3.415            0      234.656        2.419      116.471
      277        0.145        3.358            0      231.767        0.000      113.351
      278        0.165        3.393            0      233.282        1.254      113.685
      279        0.124        3.426            0      233.725        3.170      111.683
      280        0.416        3.473            0      233.766        1.357      111.115
      281        0.140        3.349            0      231.247        0.302      113.843
      282        0.168        3.343            0      232.325        1.114      115.837
      283        0.153        3.379            0      232.756        2.845      115.028
      284        0.429        3.456            0      233.774        0.879      117.355
      285        0.109        3.381            0      230.903        0.613      112.173
      286        0.245        3.377            0      232.401        4.218      117.483
      287        0.629        3.518            0      233.698        0.116      115.649
      288        0.212        3.377            0      233.849        0.000      113.645
      289        0.147        3.355            0      231.405        0.635      113.774
      290        0.167        3.365            0      231.904        0.166      115.189
      291        0.147        3.385            0      233.436        1.347      114.786
      292        0.148        3.411            0      234.052        0.066      112.896
      293        0.133        3.397            0      233.118        1.631      111.247
      294        0.115        3.378            0      233.700        0.271      110.726
      295        0.194        3.364            0      232.281        0.000      120.305
      296        0.209        3.407            0      231.957        0.412      117.863
      297        0.143        3.347            0      230.230        0.000      115.013
      298        0.137        3.360            0      231.459        1.085      111.886
      299        0.171        3.350            0      231.668        0.519      113.364
      300        0.132        3.355            0      232.310        2.850      113.442
      301        0.176        3.332            0      231.132        0.000      114.366
      302        0.491        3.540            0      236.048        0.046      115.289
      303        0.183        3.381            0      231.958        2.702      116.309
      304        0.320        3.245            0      227.812        0.000      114.007
      305        0.215        3.381            0      231.802        3.383      113.869
      306        0.331        3.271            0      228.144        0.591      118.408
      307        0.376        3.475            0      233.722        1.846      116.266
      308        0.164        3.383            0      231.442        0.879      117.232
      309        0.137        3.409            0      232.642        0.629      115.255
      310        0.224        3.304            0      229.691        0.000      111.771
      311        0.290        3.307            0      230.484        0.212      119.364
      312        0.219        3.351            0      232.001        0.370      114.085
      313        0.302        3.273            0      227.889        0.000      117.008
      314        0.148        3.358            0      232.565        0.000      112.380
      315        0.170        3.366            0      232.717        0.244      113.313
      316        0.133        3.375            0      232.177        1.230      115.896
      317        0.161        3.350            0      232.406        0.190      114.500
      318        0.176        3.326            0      229.627        0.602      114.094
      319        0.154        3.372            0      232.784        0.000      112.893
      320        0.246        3.290            0      229.995        0.162      113.696
      321        0.256        3.297            0      231.205        0.288      112.685
      322        0.178        3.389            0      233.710        0.765      120.382
      323        0.237        3.314            0      231.075        1.592      116.959
      324        0.214        3.357            0      231.779        2.086      116.938
      325        0.196        3.326            0      232.403        2.041      111.777
      326        0.195        3.308            0      231.093        0.200      111.439
      327        0.161        3.369            0      232.343        1.121      111.839
      328        0.289        3.299            0      230.566        0.027      115.683
      329        0.141        3.412            0      234.110        1.195      115.521
      330        0.112        3.383            0      232.940        3.877      113.344
      331        0.224        3.477            0      234.915        0.012      112.750
      332        0.273        3.308            0      231.606        2.514      112.748
      333        0.145        3.423            0      234.094        1.478      120.405
      334        0.535        3.538            0      234.994        0.040      110.968
      335        0.205        3.358            0      232.462        0.000      116.930
      336        0.124        3.406            0      233.777        1.104      115.637
      337        0.208        3.322            0      230.349        0.000      115.524
      338        0.212        3.374            0      232.448        0.787      113.717
      339        0.154        3.451            0      235.035        0.037      110.309
      340        0.229        3.322            0      230.802        0.389      113.578
      341        0.181        3.312            0      229.487        0.000      114.148
      342        0.194        3.317            0      229.406        0.439      113.636
      343        0.200        3.294            0      229.499        0.000      112.708
      344        0.190        3.383            0      233.432        0.000      115.872
      345        0.192        3.357            0      231.187        0.011      117.597
      346        0.273        3.350            0      234.273        0.000      114.504
      347        0.266        3.329            0      232.549        0.265      118.014
      348        0.215        3.326            0      231.285        0.000      115.236
      349        0.104        3.387            0      232.351        0.000      115.891
      350        0.214        3.449            0      232.142        0.084      116.671
      351        0.271        3.348            0      234.394        0.122      113.862
      352        0.208        3.312            0      231.529        0.000      113.870
      353        0.158        3.410            0      233.360        0.263      117.250
      354        0.214        3.323            0      231.401        0.000      112.452
      355        0.199        3.305            0      230.426        0.090      111.586
      356        0.127        3.391            0      232.531        0.000      112.635
      357        0.141        3.416            0      234.214        0.481      114.871
      358        0.120        3.374            0      232.558        0.005      116.920
      359        0.195        3.330            0      229.259        0.000      115.895
      360        0.200        3.384            0      232.410        0.000      117.911
      361        0.194        3.331            0      230.228        1.337      114.457
      362        0.394        3.519            0      235.083        0.073      114.174
      363        0.280        3.325            0      231.572        0.448      121.503
      364        0.194        3.356            0      231.518        0.000      113.365
      365        0.150        3.363            0      232.217        0.121      116.976
      366        0.166        3.400            0      232.900        2.665      111.238
      367        0.223        3.347            0      233.397        0.088      114.841
      368        0.186        3.378            0      232.007        0.625      115.971
      369        0.142        3.365            0      231.768        1.988      117.473
      370        0.172        3.419            0      232.698        1.481      117.998
      371        0.191        3.347            0      231.059        0.474      113.742
      372        0.262        3.396            0      232.871        2.245      115.355
      373        0.574        3.552            0      235.936        1.599      115.552
      374        0.200        3.370            0      230.177        0.790      116.465
      375        0.218        3.372            0      233.263        1.496      115.357
      376        0.115        3.389            0      232.876        0.136      115.117
      377        0.137        3.348            0      231.064        0.670      110.087
      378        0.144        3.377            0      233.241        0.557      115.696
      379        0.210        3.352            0      232.672        0.845      112.525
      380        0.161        3.367            0      232.170        4.001      116.647
      381        0.129        3.400            0      234.349        1.269      115.106
      382        0.249        3.279            0      229.090        1.176      114.372
      383        0.101        3.410            0      233.133        1.222      111.272
      384        0.292        3.306            0      230.850        0.941      116.938
      385        0.207        3.398            0      233.456        0.000      117.123
      386        0.170        3.370            0      233.216        0.077      111.347
      387        0.239        3.308            0      230.465        0.000      113.372
      388        0.198        3.377            0      232.322        0.432      113.311
      389        0.112        3.381            0      232.691        0.696      111.941
      390        0.177        3.405            0      231.940        0.552      113.339
      391        0.168        3.340            0      231.478        0.670      117.724
      392        0.130        3.374            0      231.669        1.927      112.571
      393        0.135        3.390            0      230.895        2.087      112.590
      394        0.258        3.311            0      230.905        0.036      114.811
      395        0.167        3.437            0      233.277        0.096      109.454
      396        0.138        3.374            0      231.321        0.103      114.951
      397        0.171        3.342            0      230.942        1.302      111.272
      398        0.140        3.390            0      232.134        1.460      112.498
      399        0.211        3.358            0      230.209        0.387      121.100
      400        0.148        3.382            0      232.605        0.521      114.066
      401        0.385        3.487            0      233.816        0.888      114.500
      402        0.248        3.349            0      231.508        0.765      113.448
      403        0.163        3.359            0      231.541        0.000      112.274
      404        0.208        3.368            0      233.406        0.993      117.845
      405        0.258        3.347            0      231.456        1.293      115.311
      406        0.225        3.433            0      232.907        1.191      114.829
      407        0.107        3.391            0      231.262        0.450      110.451
      408        0.133        3.408            0      232.781        0.272      113.191
      409        0.243        3.330            0      233.274        0.386      115.014
      410        0.200        3.345            0      232.456        0.061      115.118
      411        0.355        3.282            0      231.069        0.335      115.932
      412        0.126        3.386            0      232.073        0.000      112.475
      413        0.191        3.434            0      233.490        0.553      118.449
      414        0.365        3.427            0      233.390        1.071      112.514
      415        0.236        3.339            0      231.171        0.667      114.455
      416        0.228        3.353            0      231.411        1.115      115.363
      417        0.137        3.427            0      233.645        0.073      113.302
      418        0.176        3.340            0      231.693        0.000      112.581
      419        0.174        3.359            0      232.247        0.000      116.563
      420        0.195        3.352            0      232.248        0.818      112.659
      421        0.192        3.358            0      231.377        1.046      115.799
      422        0.277        3.347            0      234.808        1.956      115.112
      423        0.223        3.342            0      231.659        0.275      117.514
      424        0.155        3.344            0      230.761        2.594      114.069
